time,SP,PV,CO,PV_filtered,Filtered_PV
656,30,39.773,1.9105,39.04,40.156382752701205
657,30,37.705,5.7789,37.91157768723663,39.92319515962576
658,30,36.55,4.3116,36.40994264524389,39.60232023326834
659,30,34.951,5.5758,35.11887159932817,39.15986375900956
660,30,33.861,5.7596,33.74766666666667,38.65580975739085
661,30,32.431,7.0778,32.499,38.06367521492536
662,30,31.205,7.1067,31.130666666666663,37.41124427027084
663,30,29.756,8.1567,29.678029672905414,36.68303975638087
664,30,27.967,9.8471,28.197790260975346,35.8539271546459
665,30,26.95,10.299,27.488,35.00694177881135
666,30,27.547,7.4295,27.487333333333336,34.2973153991825
667,30,27.965,6.9125,27.045,33.69495439092998
668,30,25.623,12.314,26.491,32.92711035932715
669,30,25.885,9.8924,26.34466666666667,32.25723016087439
670,30,27.526,6.393,26.922666666666668,31.807172260987258
671,30,27.357,8.6131,27.30333333333333,31.383849971896645
672,30,27.027,9.7738,27.58066666666667,30.96940495827407
673,30,28.358,7.0295,27.83366666666667,30.72099526537964
674,30,28.116,8.6218,28.493333333333336,30.473195294021657
675,30,29.006,6.8457,29.18466666666667,30.33362845615942
676,30,30.432,5.4368,30.169333333333334,30.34298604159157
677,30,31.07,5.7833,30.81266666666666,30.412143187658092
678,30,30.936,6.7485,31.358666666666664,30.46197502605688
679,30,32.07,4.677,31.634,30.614938276233058
680,30,31.896,6.3323,31.671000000000003,30.73679917274835
681,30,31.047,7.9653,31.373666666666665,30.766307002236466
682,30,31.178,6.9247,31.200333333333333,30.80546926652535
683,30,31.376,6.0854,31.19533333333333,30.85974095803004
684,30,31.032,6.7187,30.75466666666667,30.876127085956494
685,30,29.856,8.8299,30.25666666666667,30.779087576502846
686,30,29.882,7.5239,29.662000000000003,30.69375219078551
687,30,29.248,8.241,29.607,30.55622512644546
688,30,29.691,6.7562,29.36566666666667,30.473920653803688
689,30,29.158,8.3082,29.05633333333334,30.348743804288606
690,30,28.32,9.5801,28.874333333333336,30.15575970820345
691,30,29.145,6.8705,28.519,30.05961126982765
692,30,28.092,9.6733,28.963333333333328,29.872442401313073
693,30,29.653,5.8453,29.01433333333333,29.85156796001071
694,30,29.298,7.9522,29.899666666666665,29.79890985100821
695,30,30.748,5.0712,29.534666666666663,29.889191977375926
696,30,28.558,10.881,29.532666666666668,29.762562444397616
697,30,29.292,7.6803,29.382,29.717800228591102
698,30,30.296,6.0799,30.13433333333333,29.772801436730894
699,30,30.815,5.8858,30.903,29.871940493741725
700,30,31.598,5.314,31.00433333333333,30.03613176959444
701,30,30.6,8.0203,31.09133333333333,30.089769691014542
702,30,31.076,6.3912,30.49066666666667,30.1835847722037
703,30,29.796,9.0034,30.112333333333336,30.146715800990094
704,30,29.465,8.9428,29.475666666666665,30.08186763861349
705,30,29.166,8.6255,29.944,29.99474580095324
706,30,31.201,3.7855,29.752,30.10949063751657
707,30,28.889,10.339,29.944000000000003,29.993391560854633
708,30,29.742,6.7437,28.831,29.96947795824379
709,30,27.862,11.213,29.320596803401173,29.769004281907076
710,30,30.533,3.8995,29.07696847723733,29.84167931497799
711,30,28.702,10.072,29.988333333333333,29.733267409067032
712,30,30.73,4.8171,29.566000000000003,29.828081519006982
713,30,29.266,9.5946,30.24333333333333,29.774613558369257
714,30,30.734,5.072,29.99466666666667,29.86587511877086
715,30,29.984,8.4061,29.81233333333334,29.877111738880792
716,30,28.719,10.281,29.671333333333337,29.766946450084316
717,30,30.311,6.0417,29.857,29.818699501568908
718,30,30.541,6.1061,30.334000000000003,29.887408280122866
719,30,30.15,7.9407,29.77933333333333,29.912387296986804
720,30,28.647,10.317,29.96633333333333,29.792017429095935
721,30,31.102,4.1807,29.653875281921174,29.916629418938523
722,30,28.562,10.958,29.80733333333333,29.787770401160337
723,30,29.758,6.7936,29.378666666666664,29.78493849407287
724,30,29.816,7.5479,29.71,29.787893217400534
725,30,29.556,8.1038,29.99266666666667,29.765834393189355
726,30,30.606,5.5696,29.894666666666662,29.8457550809812
727,30,29.522,9.0809,30.009666666666664,29.81495790416466
728,30,29.901,7.6947,29.344000000000005,29.82314265181735
729,30,28.609,10.014,29.74766666666667,29.707647426799735
730,30,30.733,4.9107,29.875666666666664,29.805184010319717
731,30,30.285,7.34,30.161666666666665,29.850826468899214
732,30,29.467,9.108,29.709,29.814315005994196
733,30,29.375,8.5661,30.138666666666666,29.77252520032765
734,30,31.574,3.4328,30.790666666666667,29.943890350081915
735,30,31.423,6.1781,31.141,30.08459054011915
736,30,30.426,8.6882,30.741666666666664,30.117067088350993
737,30,30.376,7.9914,30.68933333333333,30.14169806136772
738,30,31.266,5.4085,30.30733333333333,30.24864719555365
739,30,29.28,10.382,30.01533333333333,30.156504706657724
740,30,29.5,8.3083,29.41033333333333,30.094054747662327
741,30,29.451,8.1972,29.302666666666667,30.0328842149669
742,30,28.957,8.4673,29.33966666666667,29.930540812966722
743,30,29.611,6.7263,29.33933333333333,29.90014451806623
744,30,29.45,7.8921,30.056,29.85732455590883
745,30,31.107,4.6181,29.97066666666667,29.976199835018956
746,30,29.355,9.6195,30.075000000000003,29.917108249183446
747,30,29.763,7.8855,29.897666666666662,29.902448714004553
748,30,30.575,6.1775,30.058000000000003,29.966425102607378
749,30,29.836,8.6321,29.917666666666666,29.954018424898596
750,30,29.342,9.1146,30.213666666666665,29.89580021998438
751,30,31.463,3.8765,30.852666666666664,30.044879976773693
752,30,31.753,5.3275,31.531333333333333,30.207364760702767
753,30,31.378,6.6433,31.57166666666667,30.318721346499178
754,30,31.584,6.3923,31.396666666666665,30.43908087968692
755,30,31.228,7.1999,30.645,30.514126749449318
756,30,29.123,10.905,30.268,30.381795925954087
757,30,30.453,6.0979,29.569333333333333,30.388569207941828
758,30,29.132,9.688,30.124666666666663,30.269038160083312
759,30,30.789,4.5899,29.84566666666667,30.318499489534066
760,30,29.616,8.4264,30.26533333333333,30.251674280406412
761,30,30.391,6.0952,29.469,30.264927628611517
762,30,28.4,10.761,29.65033333333333,30.087526533455478
763,30,30.16,5.4252,29.481333333333332,30.0944205663056
764,30,29.884,7.6994,29.68166666666667,30.074404326354372
765,30,29.001,9.1672,29.89766666666667,29.972296823564964
