time,SP,PV,CO
637,40,38.653,12.714
638,40,38.469,11.943
639,40,40.905,6.6005
640,40,41.376,7.9472
641,40,40.643,10.044
642,40,39.174,13.08
643,40,40.689,8.1764
644,40,41.576,7.3524
645,40,42.015,7.9743
646,40,40.778,11.241
647,40,40.35,10.435
648,40,41.05,8.3022
649,40,41.193,8.6144
650,30,40.76,0.0
651,30,40.207,0.47828
652,30,39.539,3.438
653,30,38.095,5.9804
654,30,40.852,0.0
655,30,39.642,1.8734
656,30,39.773,1.9105
657,30,37.705,5.7789
658,30,36.55,4.3116
659,30,34.951,5.5758
660,30,33.861,5.7596
661,30,32.431,7.0778
662,30,31.205,7.1067
663,30,29.756,8.1567
664,30,27.967,9.8471
665,30,26.95,10.299
666,30,27.547,7.4295
667,30,27.965,6.9125
668,30,25.623,12.314
669,30,25.885,9.8924
670,30,27.526,6.393
671,30,27.357,8.6131
672,30,27.027,9.7738
673,30,28.358,7.0295
674,30,28.116,8.6218
675,30,29.006,6.8457
676,30,30.432,5.4368
677,30,31.07,5.7833
678,30,30.936,6.7485
679,30,32.07,4.677
680,30,31.896,6.3323
681,30,31.047,7.9653
682,30,31.178,6.9247
683,30,31.376,6.0854
684,30,31.032,6.7187
685,30,29.856,8.8299
686,30,29.882,7.5239
687,30,29.248,8.241
688,30,29.691,6.7562
689,30,29.158,8.3082
690,30,28.32,9.5801
691,30,29.145,6.8705
692,30,28.092,9.6733
693,30,29.653,5.8453
694,30,29.298,7.9522
695,30,30.748,5.0712
696,30,28.558,10.881
697,30,29.292,7.6803
698,30,30.296,6.0799
699,30,30.815,5.8858
700,30,31.598,5.314
701,30,30.6,8.0203
702,30,31.076,6.3912
703,30,29.796,9.0034
704,30,29.465,8.9428
705,30,29.166,8.6255
706,30,31.201,3.7855
707,30,28.889,10.339
708,30,29.742,6.7437
709,30,27.862,11.213
710,30,30.533,3.8995
711,30,28.702,10.072
712,30,30.73,4.8171
713,30,29.266,9.5946
714,30,30.734,5.072
715,30,29.984,8.4061
716,30,28.719,10.281
717,30,30.311,6.0417
718,30,30.541,6.1061
719,30,30.15,7.9407
720,30,28.647,10.317
721,30,31.102,4.1807
722,30,28.562,10.958
723,30,29.758,6.7936
724,30,29.816,7.5479
725,30,29.556,8.1038
726,30,30.606,5.5696
727,30,29.522,9.0809
728,30,29.901,7.6947
729,30,28.609,10.014
730,30,30.733,4.9107
731,30,30.285,7.34
732,30,29.467,9.108
733,30,29.375,8.5661
734,30,31.574,3.4328
735,30,31.423,6.1781
736,30,30.426,8.6882
737,30,30.376,7.9914
738,30,31.266,5.4085
739,30,29.28,10.382
740,30,29.5,8.3083
741,30,29.451,8.1972
742,30,28.957,8.4673
743,30,29.611,6.7263
744,30,29.45,7.8921
745,30,31.107,4.6181
746,30,29.355,9.6195
747,30,29.763,7.8855
748,30,30.575,6.1775
749,30,29.836,8.6321
750,30,29.342,9.1146
751,30,31.463,3.8765
752,30,31.753,5.3275
753,30,31.378,6.6433
754,30,31.584,6.3923
755,30,31.228,7.1999
756,30,29.123,10.905
757,30,30.453,6.0979
758,30,29.132,9.688
759,30,30.789,4.5899
760,30,29.616,8.4264
761,30,30.391,6.0952
762,30,28.4,10.761
763,30,30.16,5.4252
764,30,29.884,7.6994
765,30,29.001,9.1672
766,30,30.808,4.9954
767,30,29.535,8.7353
768,30,31.008,5.1354
769,30,29.273,9.7769
770,30,30.355,6.5652
771,30,30.415,6.6181
772,30,30.918,6.0443
773,30,29.494,9.6505
774,30,28.71,9.6305
775,30,30.549,4.9382
776,30,30.105,7.1485
777,30,30.866,5.9111
778,30,28.389,11.631
779,30,30.133,5.6266
780,30,30.344,6.2403
781,30,29.239,9.4874
782,30,28.799,9.4721
783,30,28.669,8.5945
784,30,29.33,6.9631
785,30,28.108,9.9988
786,30,30.618,4.4387
787,30,30.048,7.462
788,30,30.5,6.437
789,30,30.979,6.2578
790,30,31.095,6.8242
791,30,30.944,7.3339
792,30,31.718,5.4579
793,30,31.968,5.8254
794,30,30.313,9.1801
795,30,29.236,9.9589
796,30,29.769,7.1557
797,30,29.448,7.8392
798,30,30.157,6.1599
799,30,28.401,10.52
800,30,27.816,9.8927
801,30,27.786,9.0138
802,30,29.06,6.4815
803,30,30.252,5.5663
804,30,28.883,9.7618
805,30,29.476,7.6001
806,30,31.037,4.5656
807,30,30.649,7.5474
808,30,31.327,6.2789
809,30,32.275,4.8836
810,30,30.392,9.5053
811,30,31.539,5.3362
812,30,31.706,6.0735
813,30,30.666,8.4468
814,30,28.932,10.501
815,30,30.066,6.2945
816,30,29.708,7.564
817,30,29.148,8.4092
818,30,29.676,7.2085
819,30,29.922,6.6924
820,30,30.206,6.4921
821,30,28.592,10.557
822,30,28.702,9.0723
823,30,28.478,8.8789
824,30,28.521,8.5637
825,30,31.31,2.8675
826,30,29.693,9.0467
827,30,29.126,9.2616
828,30,31.08,4.3213
829,30,31.125,6.3902
830,30,29.547,10.186
831,30,29.59,8.5644
832,30,29.985,7.332
833,30,29.591,7.7931
834,30,30.564,5.9895
835,30,30.508,7.2149
836,30,30.288,7.2813
837,30,29.532,8.7102
838,30,29.73,7.9234
839,30,29.912,7.4934
840,30,30.702,6.0509
841,30,30.188,7.8749
842,30,28.999,9.77
843,30,30.627,5.3243
844,30,31.612,4.6464
845,30,30.844,7.6664
846,30,29.999,8.9304
847,30,31.303,5.1931
848,30,30.947,6.8034
849,30,30.988,6.8194
850,30,30.112,8.8162
851,30,28.634,10.494
852,30,29.493,6.7314
853,30,29.958,6.4598
854,30,30.221,6.7663
855,30,29.857,7.6485
856,30,30.158,6.8238
857,30,28.682,10.064
858,30,28.929,8.4316
859,30,29.69,7.0587
860,30,29.435,7.9611
861,30,30.308,5.9629
862,30,28.622,10.363
863,30,29.137,7.9246
864,30,30.203,5.8219
865,30,31.174,5.2671
866,30,29.612,9.6382
867,30,29.063,9.4123
868,30,30.576,5.4861
869,30,28.535,10.748
870,30,31.776,2.8009
871,30,30.265,8.6147
872,30,30.296,7.4458
873,30,29.357,9.0443
874,30,29.478,8.2298
875,30,29.866,7.375
876,30,31.191,4.6737
877,30,29.528,9.9192
878,30,30.203,6.5101
879,30,28.686,10.423
880,30,29.976,6.346
881,30,29.924,7.4728
882,30,29.326,8.8559
883,30,31.164,4.5165
884,30,30.29,7.6353
885,30,28.905,10.67
886,30,31.03,4.4506
887,30,30.826,6.9837
888,30,29.772,9.0497
889,30,30.125,7.3349
890,30,30.062,7.6999
891,30,30.231,6.9556
892,30,30.723,6.1929
893,30,31.678,5.2514
894,30,29.201,10.791
895,30,29.826,7.434
896,30,29.807,7.739
897,30,28.752,9.7427
898,30,28.932,8.3773
899,30,29.239,7.5596
900,30,29.966,6.1862
901,30,30.471,6.0007
902,30,29.821,8.6374
903,30,31.015,5.4943
904,30,29.439,9.8162
905,30,29.487,8.595
906,30,30.206,6.7366
907,30,32.039,3.571
908,30,30.841,7.8919
909,30,29.786,9.1681
910,30,30.257,7.2164
911,30,30.365,6.8358
912,30,31.619,4.7649
913,30,30.147,9.0867
914,30,28.917,10.238
915,30,29.416,7.2368
916,30,29.98,6.5551
917,30,30.674,5.9433
